0.000000,
12388236.000000,
23348914.000000,
35589855.000000,
44219911.000000,
60233427.000000,
68841339.000000,
81761627.000000,
92835228.000000,
110416462.000000,
123620862.000000,
134581846.000000,
146637402.000000,
158833407.000000,
176560584.000000,
190039917.000000,
193589482.000000,
213042880.000000,
224160448.000000,
244480112.000000,
254316144.000000,
261118670.000000,
287282269.000000,
293929166.000000,
316079199.000000,
336472695.000000,
334492729.000000,
367253261.000000,
382190259.000000,
390898017.000000,
414437900.000000,
427052204.000000,
430785382.000000,
462609163.000000,
492876686.000000,
502318614.000000,
526155847.000000,
550756472.000000,
563103072.000000,
577568085.000000,
614198989.000000,
634603980.000000,
657071246.000000,
680372327.000000,
704556504.000000,
726509656.000000,
751551185.000000,
780106539.000000,
811918439.000000,
828695224.000000,
866982693.000000,
