0.000000,
96120486.000000,
191744036.000000,
284646446.000000,
373157951.000000,
468610780.000000,
559745761.000000,
647242540.000000,
755800675.000000,
863556754.000000,
946416134.000000,
1043143356.000000,
1150370588.000000,
1217157267.000000,
1344598970.000000,
1438506769.000000,
1541081781.000000,
1626433750.000000,
1732361342.000000,
1830574651.000000,
1936574101.000000,
2016760733.000000,
2148190435.000000,
2228358145.000000,
2340560573.000000,
2423565655.000000,
2566481076.000000,
2649813656.000000,
2765530029.000000,
2876840037.000000,
2984751545.000000,
3097086749.000000,
3196390677.000000,
3293441813.000000,
3424391660.000000,
3521295099.000000,
3650776219.000000,
3767891776.000000,
3869340125.000000,
3987103883.000000,
4103364056.000000,
4237755837.000000,
4372031107.000000,
4507846790.000000,
4618477676.000000,
4749148629.000000,
4883631558.000000,
5013328925.000000,
5165398038.000000,
5287003520.000000,
5423820734.000000,
