0.000000,
22126843.000000,
40773063.000000,
62153306.000000,
81698184.000000,
97981149.000000,
126070044.000000,
143772675.000000,
169657620.000000,
185248701.000000,
213062790.000000,
231194476.000000,
251346230.000000,
267854961.000000,
286136384.000000,
310192829.000000,
335524499.000000,
356477725.000000,
368818241.000000,
402692609.000000,
420367528.000000,
442207414.000000,
471686756.000000,
491627752.000000,
517531467.000000,
539065344.000000,
556820017.000000,
584426002.000000,
607824356.000000,
642612780.000000,
656722300.000000,
684884475.000000,
704184004.000000,
727279827.000000,
756326393.000000,
782546505.000000,
810038200.000000,
839486927.000000,
858523053.000000,
898664373.000000,
927715533.000000,
954854481.000000,
962173810.000000,
1009338986.000000,
1041111932.000000,
1078552861.000000,
1106848760.000000,
1143767378.000000,
1174278411.000000,
1201276263.000000,
1253565417.000000,
